City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,karema,-6.8205,30.4389,21.56,74,90,1.36,TZ,1705954694
198,colchani,-20.3,-66.9333,20.89,31,53,1.86,BO,1705954694
199,buchanan,5.8808,-10.0467,27.5,84,0,3.23,LR,1705954597
200,lauro de freitas,-12.8944,-38.3272,29.01,84,75,6.69,BR,1705954695
201,enriquillo,17.9,-71.2333,29.82,70,1,6.66,DO,1705954695
202,saint-joseph,-21.3667,55.6167,26.21,90,100,4.09,RE,1705954695
203,keelung,25.1283,121.7419,9.21,86,100,10.98,TW,1705954595
204,el dorado,38.7666,-120.5177,8.49,97,100,1.61,US,1705954927
205,happy valley-goose bay,53.3168,-60.3315,-8.83,57,100,9.26,CA,1705954696
206,shuangjiang,26.1547,109.7138,-4.2,91,93,2.79,CN,1705954540
207,howard springs,-12.497,131.047,28.26,96,100,3.16,AU,1705954696
208,purranque,-40.9167,-73.1667,28.63,28,0,3.39,CL,1705954696
209,prince george,53.9166,-122.753,-4.3,85,100,0.45,CA,1705954697
210,yenangyaung,20.4667,94.8833,17.8,57,1,2.33,MM,1705954697
211,tsiombe,-25.3,45.4833,23.82,88,56,3.47,MG,1705954698
212,badger,64.8,-147.5333,-37.07,68,20,0.0,US,1705954698
213,guane,22.2025,-84.0875,27.31,59,90,8.39,CU,1705954699
214,constitucion,-35.3333,-72.4167,20.56,67,14,2.65,CL,1705954699
215,boa vista,2.8197,-60.6733,33.99,33,20,7.72,BR,1705954699
216,hinton,53.4001,-117.5857,-5.65,89,97,0.96,CA,1705954700
217,san patricio,28.017,-97.5169,17.7,92,100,4.31,US,1705954700
218,kristiansund,63.1115,7.732,7.36,61,75,7.2,NO,1705954700
219,turpan,42.9333,89.1667,-2.69,42,100,0.33,CN,1705954700
220,sinabang,2.4803,96.3801,26.45,83,92,1.47,ID,1705954701
221,bonnyville,54.2668,-110.735,-15.38,87,100,5.28,CA,1705954701
222,hamilton,39.1834,-84.5333,6.97,37,75,6.17,US,1705954701
223,perugorria,-29.3413,-58.6106,27.33,49,0,6.27,AR,1705954701
224,maitum,6.0392,124.4986,25.02,82,87,1.32,PH,1705954702
225,ust-nera,64.5667,143.2,-42.45,99,97,1.68,RU,1705954702
226,queenstown,-31.8976,26.8753,16.44,83,100,3.6,ZA,1705954702
227,chegutu,-18.1302,30.1407,16.98,71,8,2.72,ZW,1705954702
228,sitka,57.0531,-135.33,7.94,71,100,6.17,US,1705954702
229,kapuskasing,49.4169,-82.4331,-6.0,79,100,5.14,CA,1705954703
230,palikir - national government center,6.9248,158.1611,28.41,79,100,3.6,FM,1705954703
231,puerto aysen,-45.4,-72.7,27.53,44,16,1.39,CL,1705954703
232,yorkton,51.2167,-102.4677,-13.88,89,100,4.36,CA,1705954703
233,arfoud,31.4348,-4.2375,12.31,28,0,2.13,MA,1705954704
234,red hill,33.9996,-79.2581,11.19,39,52,1.68,US,1705954704
235,port lincoln,-34.7333,135.8667,20.47,68,0,3.35,AU,1705954704
236,mogocha,53.7333,119.7667,-24.65,97,100,1.18,RU,1705954705
237,ghat,24.9647,10.1728,15.28,47,3,3.55,LY,1705954705
238,susuman,62.7833,148.1667,-45.01,98,86,1.79,RU,1705954705
239,broome,42.2506,-75.833,1.29,57,100,2.06,US,1705954705
240,hailey,43.5196,-114.3153,3.22,83,100,0.89,US,1705954705
241,launceston,-41.45,147.1667,12.11,87,100,2.57,AU,1705954706
242,palestine,31.9216,35.2033,12.19,82,39,2.72,PS,1705954706
243,remire-montjoly,4.9167,-52.2667,29.02,70,75,5.14,GF,1705954706
244,frontera,26.9333,-101.45,20.86,37,75,3.6,MX,1705954706
245,vila velha,-20.3297,-40.2925,28.87,88,75,5.66,BR,1705954707
246,guacimo,10.2104,-83.6807,30.91,53,18,3.78,CR,1705954707
247,vorgashor,67.5833,63.95,-25.44,98,16,3.67,RU,1705954707
248,siwa oasis,29.2041,25.5195,16.77,47,92,5.53,EG,1705954707
249,shelbyville,35.4834,-86.4603,9.69,61,75,4.12,US,1705954707
250,hithadhoo,-0.6,73.0833,28.51,78,97,5.28,MV,1705954708
251,bayanhongor,46.7167,100.1167,-30.32,77,3,1.72,MN,1705954708
252,uturoa,-16.7333,-151.4333,27.86,77,99,5.64,PF,1705954708
253,alaghsas,17.0187,8.0168,21.53,7,51,6.02,NE,1705954708
254,inari,68.906,27.0288,-2.89,95,100,4.96,FI,1705954709
255,kayangel,8.0823,134.7173,27.11,80,100,9.63,PW,1705954709
256,penzance,50.1186,-5.5371,10.38,74,100,10.82,GB,1705954709
257,sunland park,31.7965,-106.58,17.25,39,0,7.2,US,1705954709
258,kotlas,61.2611,46.6556,-7.75,89,94,4.92,RU,1705954710
259,cozumel,20.5083,-86.9458,28.04,81,75,8.23,MX,1705954710
260,revda,56.801,59.9303,-19.17,98,74,2.75,RU,1705954710
261,haiku-pauwela,20.9219,-156.3051,26.25,59,20,7.72,US,1705954710
262,tocache,-8.1842,-76.5125,31.08,59,97,1.55,PE,1705954710
263,ivdel',60.6911,60.4206,-18.78,96,33,1.79,RU,1705954711
264,bikenibeu village,1.3673,173.1241,28.98,79,40,3.09,KI,1705954711
265,katsuren-haebaru,26.3369,127.8719,14.43,81,100,7.2,JP,1705954712
266,arvayheer,46.2639,102.775,-19.97,75,0,2.93,MN,1705954712
267,parral,26.9333,-105.6667,17.9,25,100,10.4,MX,1705954484
268,haliyal,15.3333,74.7667,17.15,90,12,1.24,IN,1705954712
269,harstad,68.799,16.5293,-0.47,92,100,4.47,NO,1705954713
270,santa ana,33.7456,-117.8678,17.2,88,100,2.57,US,1705954713
271,enewetak,11.3474,162.3373,26.38,77,100,10.32,MH,1705954713
272,wenatchee,47.4235,-120.3103,5.37,97,100,0.0,US,1705954713
273,saint-philippe,-21.3585,55.7679,26.77,91,100,4.29,RE,1705954942
274,arno,60.1167,18.6333,4.88,75,100,10.98,SE,1705954715
275,jinzhou,41.1078,121.1417,-14.35,46,8,1.98,CN,1705954715
276,naracoorte,-36.9579,140.7383,15.57,53,0,3.69,AU,1705954715
277,rocky mountain house,52.3668,-114.9188,-11.94,72,100,5.14,CA,1705954715
278,yenagoa,4.9247,6.2642,28.54,70,0,3.32,NG,1705954716
279,kapa'a,22.0752,-159.319,26.99,71,75,7.2,US,1705954716
280,lincoln city,44.9582,-124.0179,12.61,98,100,2.68,US,1705954716
281,mahibadhoo,3.7833,72.9667,28.01,79,8,6.33,MV,1705954716
282,lospalos,-8.5186,127.0025,24.35,86,100,6.79,TL,1705954717
283,tsetserleg,47.475,101.4542,-24.6,81,2,2.97,MN,1705954717
284,ilulissat,69.2167,-51.1,-10.99,79,75,4.12,GL,1705954718
285,abbeville,50.1,1.8333,9.98,81,21,10.65,FR,1705954718
286,capayan,-28.761,-66.0502,31.0,33,34,5.92,AR,1705954718
287,carnarvon,-24.8667,113.6333,23.1,73,82,12.65,AU,1705954719
288,vilyuchinsk,52.9306,158.4028,-8.19,89,100,2.71,RU,1705954719
289,ad dilam,23.9915,47.1627,18.23,34,0,4.35,SA,1705954719
290,port augusta,-32.5,137.7667,25.75,28,0,2.57,AU,1705954719
291,kiuruvesi,63.65,26.6167,0.19,96,100,6.58,FI,1705954720
292,la passe,45.5549,-0.8967,11.66,90,98,4.56,FR,1705954720
293,chipata,-13.6333,32.65,18.59,98,100,0.62,ZM,1705954720
294,cockburn town,21.4612,-71.1419,25.06,79,37,11.75,TC,1705954721
295,bielsk podlaski,52.7651,23.1865,3.47,78,100,8.51,PL,1705954721
296,nefta,33.8731,7.8777,12.14,48,4,1.54,TN,1705954721
297,swan hill,-35.3378,143.5544,14.93,54,15,2.95,AU,1705954721
298,crane,31.3974,-102.3501,14.92,35,0,0.61,US,1705954722
299,axim,4.8699,-2.2405,27.42,85,4,4.27,GH,1705954722
300,kudahuvadhoo,2.6708,72.8944,27.89,79,6,5.94,MV,1705954723
301,matoury,4.8483,-52.3317,28.98,70,75,5.14,GF,1705954723
302,pokhara,28.2333,83.9833,9.38,41,7,2.27,NP,1705954502
303,pathein,16.7833,94.7333,20.89,79,8,3.37,MM,1705954723
304,kalachinsk,55.0529,74.5751,-15.28,85,100,3.35,RU,1705954724
305,kasongo-lunda,-6.4667,16.8167,23.22,76,37,0.59,CD,1705954724
306,sungai petani,5.647,100.4877,26.93,93,100,1.51,MY,1705954724
307,warrnambool,-38.3833,142.4833,12.22,84,100,3.45,AU,1705954442
308,encarnacion de diaz,21.5167,-102.2333,21.32,27,100,8.42,MX,1705954724
309,oriximina,-1.7656,-55.8661,28.26,78,81,2.03,BR,1705954725
310,ventspils,57.3894,21.5606,4.96,93,100,8.75,LV,1705954725
311,bontang,0.1333,117.5,25.94,88,100,2.94,ID,1705954725
312,kambileyevskoye,43.0786,44.7522,-3.97,92,100,2.0,RU,1705954725
313,severnoye,56.3491,78.3619,-15.01,84,100,4.02,RU,1705954726
314,arraial do cabo,-22.9661,-42.0278,26.98,78,40,5.14,BR,1705954726
315,luanco,43.6152,-5.7934,14.05,97,100,1.92,ES,1705954726
316,rice lake,45.5061,-91.7382,-0.82,66,100,0.0,US,1705954726
317,novodvinsk,64.4165,40.8122,-5.12,90,100,4.77,RU,1705954727
318,natal,-5.795,-35.2094,30.36,74,75,6.69,BR,1705954727
319,horta,38.5333,-28.6333,17.8,90,75,8.75,PT,1705954727
320,camarinas,43.1311,-9.1817,15.52,97,100,4.14,ES,1705954728
321,acapulco de juarez,16.8634,-99.8901,31.9,45,20,5.66,MX,1705954728
322,verkhov'ye,52.8119,37.2425,-12.6,92,14,5.74,RU,1705954728
323,surskoye,54.4821,46.7214,-21.97,99,13,2.57,RU,1705954728
324,saipan,15.1355,145.701,25.39,78,0,7.72,MP,1705954729
325,port saint john's,-31.6229,29.5448,22.72,85,92,5.97,ZA,1705954729
326,champerico,14.3,-91.9167,36.3,58,86,4.92,GT,1705954729
327,balkh,36.75,67.0,9.59,36,71,1.5,AF,1705954729
328,lucapa,-8.4192,20.7447,19.97,90,98,0.41,AO,1705954496
329,arkalyk,50.2486,66.9114,-11.35,73,100,3.23,KZ,1705954730
330,gorgan,36.8387,54.4348,7.98,93,100,3.09,IR,1705954730
331,kyabe,9.4515,18.9449,26.65,10,0,1.82,TD,1705954730
332,chelm,51.1431,23.4716,2.72,68,100,7.97,PL,1705954730
333,ceylanpinar,36.8472,40.05,10.25,84,61,3.67,TR,1705954731
334,haro,42.5763,-2.8476,12.37,84,99,2.45,ES,1705954731
335,amungan,15.3652,119.9582,25.01,75,36,1.91,PH,1705954731
336,miri,4.4148,114.0089,24.08,100,20,0.51,MY,1705954731
337,new norfolk,-42.7826,147.0587,12.18,69,97,0.2,AU,1705954732
338,deniliquin,-35.5333,144.9667,14.82,62,57,1.97,AU,1705954732
339,yanam,16.7333,82.2167,21.08,89,75,1.62,IN,1705954732
340,cabo san lucas,22.8909,-109.9124,26.45,57,75,5.14,MX,1705954732
341,saoner,21.3833,78.9,20.92,43,86,2.02,IN,1705954732
342,suva,-18.1416,178.4415,25.71,94,75,2.06,FJ,1705954733
343,kalmunai,7.4167,81.8167,26.31,70,100,2.73,LK,1705954733
344,basmakci,37.8972,30.0117,1.05,79,32,2.21,TR,1705954733
345,mashhad,36.297,59.6062,6.08,49,0,3.09,IR,1705954733
346,ocean shores,46.9737,-124.1563,10.72,98,100,7.2,US,1705954734
347,aldama,22.9167,-98.0667,25.21,61,63,5.02,MX,1705954734
348,aljezur,37.3191,-8.8033,12.51,83,10,2.77,PT,1705954734
349,songadh,21.1667,73.5667,18.06,27,51,1.04,IN,1705954734
350,praia da vitoria,38.7333,-27.0667,17.14,88,40,11.6,PT,1705954735
351,fortaleza,-3.7227,-38.5247,30.6,87,75,5.66,BR,1705954735
352,ouesso,1.6136,16.0517,25.44,26,3,1.08,CG,1705954735
353,hami,42.8,93.45,-11.01,61,0,1.39,CN,1705954735
354,kingston,17.997,-76.7936,30.53,77,40,5.66,JM,1705954736
355,kuala belait,4.5833,114.1833,24.09,89,47,3.26,BN,1705954736
356,oeiras do para,-2.0031,-49.8544,33.42,50,23,2.91,BR,1705954736
357,ibiza,38.9088,1.433,14.01,83,75,4.63,ES,1705954736
358,kota belud,6.351,116.4305,24.76,85,45,1.78,MY,1705954736
359,jewar,28.1333,77.55,6.82,51,0,1.13,IN,1705954737
360,khilok,51.3674,110.4676,-22.62,96,64,1.63,RU,1705954737
